author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/287243502/;Москва;sale;flat;8;9;1;45.0;655555;29500000;Пресненский;переулок Красина;Маяковская;Дом на Красина
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/287145708/;Москва;sale;flat;10;17;1;44.0;290909;12800000;Бирюлево Восточное;6-я Радиальная;Царицыно;Царицыно
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283530944/;Москва;sale;flat;3;5;1;38.0;115789;4400000;;;Теплый Стан. 2 этаж. Общая площадь 39;
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283531900/;Москва;sale;flat;1;5;1;37.0;122972;4550000;;;"Теплый Стан.

1 этаж 5 этажного дома. Общая площадь 38 кв м";
Империя;real_estate_agent;https://www.cian.ru/sale/flat/286920819/;Москва;sale;flat;6;9;1;35.0;254285;8900000;Коньково;Островитянова;Беляево;
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/285373708/;Москва;sale;flat;10;17;1;38.3;240208;9200000;;;;
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/275597314/;Москва;sale;flat;11;37;1;28.0;435714;12200000;Раменки;Лобачевского;Аминьевская;Огни
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/281919291/;Москва;sale;flat;7;16;1;30.0;449666;13490000;Лефортово;проезд Невельского;Авиамоторная;Символ
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/279260891/;Москва;sale;flat;32;37;1;37.0;391891;14500000;Раменки;Лобачевского;Аминьевская;Огни
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284187408/;Москва;sale;flat;10;15;1;60.6;346534;21000000;Останкинский;проспект Мира;;Hill8
MiniStudioRealty;real_estate_agent;https://www.cian.ru/sale/flat/287284176/;Москва;sale;flat;2;14;1;41.3;217900;8999270;Сокол;Балтийская;Сокол;
ФСК;developer;https://www.cian.ru/sale/flat/286827613/;Москва;sale;flat;-1;-1;-1;-1;-11620935;11620935;Покровское-Стрешнево;Северо-Западный ао;Спартак;Движение Тушино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/272237772/;Москва;sale;flat;33;33;1;32.6;266591;8690898;Западное Дегунино;Северный ао;Бескудниково;Бусиновский Парк ЖК
GRAVION;developer;https://www.cian.ru/sale/flat/284824183/;Москва;sale;flat;2;9;1;52.18;985234;51409562;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284187406/;Москва;sale;flat;9;15;1;58.6;358361;21000000;Останкинский;проспект Мира;;Hill8
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/287317038/;Москва;sale;flat;4;4;1;33.6;252678;8490000;Мещанский;Средняя Переяславская;Рижская;
Спартак;developer;https://www.cian.ru/sale/flat/286434756/;Москва;sale;flat;6;14;1;47.52;269360;12800000;Ясенево;Новоясеневский проспект;Тёплый Стан;LES
ID 59405969;unknown;https://www.cian.ru/sale/flat/286545373/;Москва;sale;flat;9;9;1;33.0;220606;7280000;Ивановское;Молостовых;Новогиреево;
ID 60102614;realtor;https://www.cian.ru/sale/flat/285521234/;Москва;sale;flat;4;9;1;37.2;315860;11750000;Царицыно;Каспийская;Царицыно;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/283899025/;Москва;sale;flat;6;6;1;18.6;258064;4800000;Марфино;Гостиничный проезд;Окружная;
