author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/283329035/;Москва;sale;flat;2;8;3;150.2;1191744;179000000;Якиманка;Софийская набережная;Третьяковская;Софийский
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285680288/;Москва;sale;flat;4;5;4;137.0;1277372;175000000;Арбат;переулок Романов;Библиотека им. Ленина;
Хлебозавод 9;developer;https://www.cian.ru/sale/flat/278751076/;Москва;sale;flat;2;4;2;50.3;295000;14838500;Преображенское;Электрозаводская;Преображенская площадь;Апартаменты Берег Яузы
GloraX;developer;https://www.cian.ru/sale/flat/277738052/;Москва;sale;flat;3;21;3;91.13;417425;38039999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/285339991/;Москва;sale;flat;9;29;3;118.0;466101;55000000;Раменки;Мосфильмовская;Ломоносовский проспект;Мосфильмовская
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/285492266/;Москва;sale;flat;7;8;2;50.0;1150000;57500000;Якиманка;Софийская набережная;Новокузнецкая;Софийский
ID 416302;realtor;https://www.cian.ru/sale/flat/282770702/;Москва;sale;flat;14;48;2;73.3;399727;29300000;Раменки;Лобачевского;Юго-Западная;Событие
Кирилл Малиновский;realtor;https://www.cian.ru/sale/flat/284809172/;Москва;sale;flat;16;46;2;77.2;320076;24709900;Обручевский;Академика Волгина;Калужская;Архитектор
Хлебозавод 9;developer;https://www.cian.ru/sale/flat/278751118/;Москва;sale;flat;2;3;1;33.4;280000;9352000;Преображенское;Электрозаводская;Преображенская площадь;Апартаменты Берег Яузы
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/286330754/;Москва;sale;flat;4;9;4;184.0;978260;180000000;Хамовники;Остоженка;Парк Культуры;
КВАРТА-18;real_estate_agent;https://www.cian.ru/sale/flat/286366345/;Москва;sale;flat;4;5;2;53.2;619360;32950000;Тверской;Тверская;Чеховская;
ASTERUS;developer;https://www.cian.ru/sale/flat/274202055/;Москва;sale;flat;-1;-1;-1;202.0;79815;16122800;Покровское-Стрешнево;;Спартак;Алиа ЖК
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/283326551/;Москва;sale;flat;12;17;3;72.71;892586;64900000;Пресненский;Сергея Макеева;Улица 1905 года;RedSide
